Date,Location,Temp_C
1743-11-01,Chicago,5.436
1744-04-01,Chicago,8.766
1744-05-01,Chicago,11.605
1744-06-01,Chicago,17.965
1744-07-01,Chicago,21.68
1744-09-01,Chicago,17.03
1744-10-01,Chicago,10.662
1744-11-01,Chicago,5.776
1744-12-01,Chicago,0.371
1745-01-01,Chicago,-0.901
1745-02-01,Chicago,-0.422
1745-03-01,Chicago,1.865
1745-04-01,Chicago,6.654
1750-01-01,Chicago,-0.966
1750-02-01,Chicago,0.095
1750-03-01,Chicago,3.723
1750-04-01,Chicago,7.189
1750-05-01,Chicago,12.124
1750-06-01,Chicago,16.898
1750-07-01,Chicago,23.713
1750-08-01,Chicago,23.249
1750-09-01,Chicago,18.392
1750-10-01,Chicago,10.27
1750-12-01,Chicago,0.6579999999999999
1751-01-01,Chicago,-1.009
1751-02-01,Chicago,-0.95
1751-03-01,Chicago,4.189
1751-04-01,Chicago,6.606
1751-06-01,Chicago,18.166
1751-07-01,Chicago,22.473000000000003
1751-08-01,Chicago,22.78700000000001
1751-09-01,Chicago,17.281
1752-01-01,Chicago,-4.109
1752-03-01,Chicago,4.327999999999999
1752-04-01,Chicago,6.25
1752-10-01,Chicago,11.161
1752-11-01,Chicago,7.7349999999999985
1752-12-01,Chicago,1.646
1753-01-01,Chicago,-1.134
1753-02-01,Chicago,-0.385
1753-03-01,Chicago,4.7490000000000006
1753-04-01,Chicago,6.721
1753-05-01,Chicago,12.51
1753-06-01,Chicago,18.705
1753-07-01,Chicago,22.391
1753-08-01,Chicago,22.427
1753-09-01,Chicago,17.73
1753-10-01,Chicago,12.347
1753-11-01,Chicago,5.638
1753-12-01,Chicago,-1.17
1754-01-01,Chicago,-0.8549999999999999
1754-02-01,Chicago,-1.967
1754-03-01,Chicago,3.069
1754-06-01,Chicago,18.245
1754-07-01,Chicago,22.237
1754-08-01,Chicago,22.269
1754-09-01,Chicago,17.717
1754-10-01,Chicago,13.231
1754-12-01,Chicago,1.828
1755-01-01,Chicago,-1.6189999999999998
1755-02-01,Chicago,-0.8709999999999999
1755-03-01,Chicago,2.331
1755-04-01,Chicago,7.687
1755-05-01,Chicago,12.764
1755-06-01,Chicago,18.68
1755-09-01,Chicago,17.97
1755-10-01,Chicago,11.196
1755-11-01,Chicago,6.135999999999999
1755-12-01,Chicago,-0.1680000000000001
1756-01-01,Chicago,0.492
1756-02-01,Chicago,3.047
1756-06-01,Chicago,18.559
1756-07-01,Chicago,22.016
1756-08-01,Chicago,21.958
1756-09-01,Chicago,18.964
1756-10-01,Chicago,11.175999999999998
1756-11-01,Chicago,4.866999999999999
1756-12-01,Chicago,-0.7090000000000001
1757-01-01,Chicago,-2.988
1757-02-01,Chicago,1.207
1757-03-01,Chicago,3.3080000000000003
1757-04-01,Chicago,6.697
1757-05-01,Chicago,12.962
1757-06-01,Chicago,20.839
1757-07-01,Chicago,24.795
1757-08-01,Chicago,22.97300000000001
1757-10-01,Chicago,10.44
1757-11-01,Chicago,4.776999999999999
1757-12-01,Chicago,-0.5430000000000001
1758-01-01,Chicago,-3.954
1758-02-01,Chicago,-1.401
1758-03-01,Chicago,2.393
1758-04-01,Chicago,6.143000000000002
1758-05-01,Chicago,10.42
1758-06-01,Chicago,17.026
1758-07-01,Chicago,21.18
1758-08-01,Chicago,20.225
1758-09-01,Chicago,16.564
1758-10-01,Chicago,8.2
1758-11-01,Chicago,6.268
1758-12-01,Chicago,0.2230000000000001
1759-01-01,Chicago,0.3619999999999999
1759-02-01,Chicago,1.917
1759-03-01,Chicago,3.404
1759-04-01,Chicago,5.695
1759-05-01,Chicago,11.164
1759-06-01,Chicago,17.175
1759-07-01,Chicago,19.852
1759-08-01,Chicago,22.048
1759-09-01,Chicago,18.57
1759-10-01,Chicago,12.078
1759-11-01,Chicago,5.468
1759-12-01,Chicago,-2.6750000000000003
1760-01-01,Chicago,-2.882
1760-02-01,Chicago,0.248
1760-03-01,Chicago,1.2859999999999998
1760-04-01,Chicago,6.5870000000000015
1760-05-01,Chicago,10.893
1760-06-01,Chicago,15.919
1760-08-01,Chicago,22.532
1760-09-01,Chicago,17.887
1760-10-01,Chicago,10.729
1760-11-01,Chicago,5.441999999999998
1760-12-01,Chicago,-0.098
1761-01-01,Chicago,-3.769
1761-02-01,Chicago,0.155
1761-03-01,Chicago,4.513999999999999
1761-04-01,Chicago,6.0950000000000015
1761-05-01,Chicago,14.284
1761-06-01,Chicago,22.058000000000003
1761-07-01,Chicago,27.799
1761-08-01,Chicago,22.708
1761-09-01,Chicago,18.18
1761-11-01,Chicago,5.614
1761-12-01,Chicago,-3.2310000000000003
1762-02-01,Chicago,0.992
1762-03-01,Chicago,1.921
1762-04-01,Chicago,7.564
1762-05-01,Chicago,11.665
1762-06-01,Chicago,18.178
1762-07-01,Chicago,22.912
1762-09-01,Chicago,17.434
1762-10-01,Chicago,10.142
1762-11-01,Chicago,6.51
1762-12-01,Chicago,0.84
1763-01-01,Chicago,-3.089
1763-02-01,Chicago,-1.634
1763-03-01,Chicago,0.8080000000000003
1763-04-01,Chicago,6.416
1763-05-01,Chicago,10.889
1763-06-01,Chicago,16.727999999999998
1763-08-01,Chicago,22.265
1763-09-01,Chicago,17.79
1763-11-01,Chicago,5.035
1763-12-01,Chicago,1.965
1764-01-01,Chicago,-1.035
1764-02-01,Chicago,3.023
1764-03-01,Chicago,3.563
1764-06-01,Chicago,15.594
1764-07-01,Chicago,20.303
1764-08-01,Chicago,21.472
1764-09-01,Chicago,17.305999999999997
1764-10-01,Chicago,14.162
1764-11-01,Chicago,7.419
1764-12-01,Chicago,4.523999999999999
1765-01-01,Chicago,-0.25
1765-02-01,Chicago,1.1729999999999998
1765-03-01,Chicago,4.769
1765-04-01,Chicago,8.176
1765-05-01,Chicago,11.936
1765-07-01,Chicago,21.194000000000003
1765-08-01,Chicago,22.261
1765-09-01,Chicago,18.205
1765-10-01,Chicago,11.595
1765-11-01,Chicago,7.017
1765-12-01,Chicago,1.548
1766-01-01,Chicago,-2.8
1766-02-01,Chicago,2.2150000000000003
1766-03-01,Chicago,3.733
1766-04-01,Chicago,7.087999999999999
1766-05-01,Chicago,11.979
1766-06-01,Chicago,17.952
1766-07-01,Chicago,21.458
1766-08-01,Chicago,23.179
1766-09-01,Chicago,19.782
1766-10-01,Chicago,12.003
1766-11-01,Chicago,8.307
1766-12-01,Chicago,1.028
1767-01-01,Chicago,-2.199
1767-02-01,Chicago,0.3170000000000001
1767-03-01,Chicago,4.192
1767-04-01,Chicago,6.175000000000002
1767-05-01,Chicago,10.793
1767-07-01,Chicago,21.402
1767-08-01,Chicago,23.853
1767-09-01,Chicago,18.316
1767-10-01,Chicago,12.399
1767-11-01,Chicago,8.331
1767-12-01,Chicago,-0.0209999999999999
1768-01-01,Chicago,-3.124
1768-02-01,Chicago,0.4650000000000001
1768-03-01,Chicago,0.9209999999999998
1768-04-01,Chicago,5.3260000000000005
1768-05-01,Chicago,10.108
1768-06-01,Chicago,15.932
1768-07-01,Chicago,20.997
1768-08-01,Chicago,21.427
1768-09-01,Chicago,17.869
1768-10-01,Chicago,11.43
1768-11-01,Chicago,5.409
1768-12-01,Chicago,0.62
1769-01-01,Chicago,-1.071
1769-02-01,Chicago,-0.6849999999999999
1769-03-01,Chicago,2.499
1769-04-01,Chicago,7.6960000000000015
1769-05-01,Chicago,13.01
1769-06-01,Chicago,19.216
1769-07-01,Chicago,22.698
1769-08-01,Chicago,22.665
1769-09-01,Chicago,18.541
1769-10-01,Chicago,9.534
1769-11-01,Chicago,4.254
1769-12-01,Chicago,-0.863
1770-01-01,Chicago,-1.571
1770-02-01,Chicago,0.907
1770-03-01,Chicago,0.3260000000000001
1770-04-01,Chicago,7.947
1770-05-01,Chicago,11.140999999999998
1770-06-01,Chicago,16.722
1770-07-01,Chicago,20.557
1770-08-01,Chicago,21.382
1770-09-01,Chicago,17.945
1770-10-01,Chicago,11.399
1770-11-01,Chicago,6.792000000000001
1770-12-01,Chicago,2.366
1771-01-01,Chicago,2.432
1771-02-01,Chicago,-2.438
1771-03-01,Chicago,2.533
1771-04-01,Chicago,6.037000000000001
1771-05-01,Chicago,11.729
1771-06-01,Chicago,18.202
1771-07-01,Chicago,21.758000000000003
1771-08-01,Chicago,23.648000000000003
1771-09-01,Chicago,18.709
1771-10-01,Chicago,14.217
1771-11-01,Chicago,7.393
1771-12-01,Chicago,1.101
1772-01-01,Chicago,-1.4480000000000002
1772-02-01,Chicago,-0.8879999999999999
1772-03-01,Chicago,0.7979999999999999
1772-04-01,Chicago,7.825
1772-05-01,Chicago,10.691
1772-06-01,Chicago,16.855
1772-07-01,Chicago,22.488000000000003
1772-08-01,Chicago,22.81900000000001
1772-09-01,Chicago,17.293
1772-10-01,Chicago,13.263
1772-11-01,Chicago,8.652000000000001
1772-12-01,Chicago,4.914
1773-01-01,Chicago,-1.998
1773-02-01,Chicago,-2.144
1773-03-01,Chicago,2.915
1773-04-01,Chicago,8.274000000000001
1773-05-01,Chicago,13.229
1773-06-01,Chicago,17.463
1773-07-01,Chicago,22.591
1773-08-01,Chicago,22.688
1773-09-01,Chicago,19.693
1773-10-01,Chicago,13.112
1773-11-01,Chicago,5.287999999999999
1773-12-01,Chicago,3.926
1774-01-01,Chicago,-3.583
1774-02-01,Chicago,1.149
1774-03-01,Chicago,3.716
1774-04-01,Chicago,10.192
1774-06-01,Chicago,18.679
1774-07-01,Chicago,23.605
1774-08-01,Chicago,23.068
1774-09-01,Chicago,18.149
1774-10-01,Chicago,13.183
1774-11-01,Chicago,5.627000000000001
1774-12-01,Chicago,-0.8369999999999997
1775-01-01,Chicago,1.8280000000000003
1775-02-01,Chicago,3.801
1775-03-01,Chicago,5.787000000000001
1775-04-01,Chicago,6.706
1775-05-01,Chicago,12.759
1775-06-01,Chicago,16.392
1775-07-01,Chicago,22.009
1775-08-01,Chicago,22.409
1775-09-01,Chicago,17.448
1775-10-01,Chicago,13.132
1775-11-01,Chicago,9.65
1775-12-01,Chicago,-0.034
1776-01-01,Chicago,-2.9410000000000003
1776-02-01,Chicago,0.848
1776-03-01,Chicago,1.976
1776-04-01,Chicago,6.401
1776-05-01,Chicago,10.402
1776-06-01,Chicago,18.35
1776-07-01,Chicago,21.317
1776-08-01,Chicago,23.378
1776-09-01,Chicago,18.036
1776-10-01,Chicago,11.817
1776-11-01,Chicago,7.33
1776-12-01,Chicago,2.872
1777-01-01,Chicago,3.268
1777-02-01,Chicago,1.937
1777-03-01,Chicago,3.35
1777-04-01,Chicago,5.065
1777-05-01,Chicago,11.112
1777-06-01,Chicago,15.776
1777-07-01,Chicago,19.352
1777-08-01,Chicago,21.624
1777-09-01,Chicago,17.846
1777-10-01,Chicago,10.43
1777-11-01,Chicago,5.5
1777-12-01,Chicago,0.7290000000000001
1778-01-01,Chicago,-0.705
1778-02-01,Chicago,2.774
1778-03-01,Chicago,1.692
1778-04-01,Chicago,9.354
1778-05-01,Chicago,11.521999999999998
1778-06-01,Chicago,15.168
1778-09-01,Chicago,20.143
1778-10-01,Chicago,11.83
1778-11-01,Chicago,4.930999999999999
1778-12-01,Chicago,-0.4080000000000001
1779-01-01,Chicago,-2.168
1779-02-01,Chicago,1.944
1779-03-01,Chicago,3.838
1779-04-01,Chicago,8.557
1779-05-01,Chicago,14.606
1779-06-01,Chicago,16.094
1779-07-01,Chicago,20.805
1779-08-01,Chicago,22.154
1779-09-01,Chicago,19.048
1779-10-01,Chicago,12.535
1779-11-01,Chicago,6.5
1779-12-01,Chicago,-0.036
1780-01-01,Chicago,-0.2729999999999999
1780-02-01,Chicago,1.861
1780-03-01,Chicago,3.26
1780-04-01,Chicago,13.46
1780-05-01,Chicago,17.057000000000002
1780-06-01,Chicago,19.243
1780-07-01,Chicago,23.827
1780-08-01,Chicago,21.897
1781-01-01,Chicago,0.5920000000000001
1781-02-01,Chicago,0.413
1781-03-01,Chicago,3.256
1781-04-01,Chicago,5.876
1781-05-01,Chicago,11.884
1781-06-01,Chicago,16.343
1781-07-01,Chicago,22.579
1781-08-01,Chicago,23.125
1781-09-01,Chicago,16.730999999999998
1781-10-01,Chicago,12.41
1781-11-01,Chicago,6.827000000000001
1781-12-01,Chicago,2.076
1782-01-01,Chicago,-3.2260000000000004
1782-02-01,Chicago,-1.4540000000000002
1782-03-01,Chicago,0.4860000000000002
1782-04-01,Chicago,8.299
1782-05-01,Chicago,12.182
1782-06-01,Chicago,18.387
1782-07-01,Chicago,21.318
1782-08-01,Chicago,24.128
1782-09-01,Chicago,19.408
1782-10-01,Chicago,11.528
1782-11-01,Chicago,5.337999999999999
1782-12-01,Chicago,-0.1580000000000001
1783-01-01,Chicago,-3.671
1783-02-01,Chicago,2.1580000000000004
1783-03-01,Chicago,2.6710000000000003
1783-04-01,Chicago,7.065
1783-05-01,Chicago,12.621
